Diagonisis Code,Disease,Description,Common Symptomps,Medicine,Doctor,Doctor's Number,Doctor's Address
30142-469,Fumariaceae,"Unspecified injury of intrinsic muscle, fascia and tendon of right middle finger at wrist and hand level",Joint dis NOS-unspec jt,Stomach relief,Angie Georgiev,(393) 8720741,7 Waxwing Parkway
55289-148,Dryopteridaceae,"Other specified disorders of amniotic fluid and membranes, second trimester, other fetus",Personality chg oth dis,Diflucan,Vladamir Roden,(440) 8637681,70 Main Lane
57520-0426,Liliaceae,Other symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage,Uterus injury-open,Type 3 Sinus Max,Belvia Poplee,(330) 9246034,52 Prairie Rose Lane
0268-0103,Bryaceae,Other specified injury of blood vessel of right thumb,TB lung infiltr-micro dx,CENTER-AL - FESTUCA PRATENSIS POLLEN,Adena Llorens,(686) 3900889,09274 Onsgard Drive
63629-3707,Pteridaceae,"Intermittent hydrarthrosis, shoulder",Fx lower limb NEC-closed,Isoniazid,Jordan Iseton,(265) 3104774,41 3rd Alley
0456-0460,Arecaceae,"War operations involving explosion of other marine weapons, civilian, subsequent encounter",Adult emotnl/psych abuse,Armour Thyroid,Thedrick Gerrad,(716) 8567331,59360 Dayton Crossing
36987-1475,Liliaceae,"Strain of extensor muscle, fascia and tendon of right index finger at wrist and hand level, sequela",Abo incompat react NOS,Yellow Onion,Darice Thorns,(755) 4732229,1 Pankratz Alley
0378-0085,Orchidaceae,"Drowning and submersion due to fall off (nonpowered) inflatable craft, sequela",Comp-heart valve prosth,Carbidopa and Levodopa,Alexis Margeram,(823) 7810724,2908 Blackbird Park
57627-132,Scrophulariaceae,"Unspecified focal traumatic brain injury with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",Toxic effect of latex,Medium Deep Warm Perfecting Makeup Broad Spectrum SPF 25,Nerte Masserel,(972) 1038345,094 Susan Road
55316-384,Asteraceae,Passenger in heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident,Oth arthropod-borne dis,healthy accents cough relief,Menard Guilleton,(497) 9129377,72754 Mitchell Way
60986-1027,Rubiaceae,Ulcerative (chronic) proctitis with intestinal obstruction,Acetonuria,Aesculus,Faber Peterken,(595) 9114005,8089 Ronald Regan Alley
52862-100,Saxifragaceae,"Unspecified injury of peroneal artery, right leg, sequela",Rosacea,Health Smart Antibacterial Wet Wipes,Barnabas Pawels,(847) 5938644,88997 Eagle Crest Junction
49349-566,Fabaceae,"Nondisplaced fracture of head of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",Mgrn NOS w ntrc w st mgr,Furosemide,Francisco Skitterel,(380) 8408458,2 Warbler Junction
57664-477,Malvaceae,"Subluxation of metacarpal (bone), proximal end of unspecified hand, sequela",Arthropathy NEC-mult,Metoprolol Tartrate,Nicoline Gerrad,(940) 4347472,93173 Esch Trail
13733-030,Juncaceae,"Other displaced fracture of upper end of right humerus, subsequent encounter for fracture with malunion",Malign neopl adrenal,MISSHA ALL AROUND SAFE BLOCK SOFT FINISH SUN MILK,Audi Snowsill,(817) 8451805,6 Corry Pass
63629-4071,Grimmiaceae,"Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, intentional self-harm, subsequent encounter",Ac mucoid otitis media,Glipizide,Dynah Haller,(222) 7290586,7 Hermina Junction
55316-384,Asteraceae,"Cranial nerve disorder, unspecified",Hx retrn military deploy,healthy accents cough relief,Gregorius Scardifield,(915) 5401189,98 Springs Center
50730-8204,Cyperaceae,"Pedestrian injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident",Chromosome anomaly NOS,Triadine Prep,Remy Jesteco,(794) 7273844,67368 Donald Circle
0228-2538,Dryopteridaceae,Unspecified foreign body in other parts of respiratory tract causing other injury,Visceral herpes simplex,Carbidopa and levodopa,Sheila-kathryn Orpin,(848) 5739836,93292 Merchant Avenue
41250-404,Poaceae,"Other specified injury of right carotid artery, subsequent encounter",Sacral root injury,Glycerin,Chery Martello,(792) 5557570,1 Glendale Pass
50111-901,Rhamnaceae,"Unspecified fracture of upper end of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",Fx clavicle shaft-closed,Ethosuximide,Bengt MacLaig,(428) 2917001,47 Heath Drive
0832-1071,Portulacaceae,"Idiopathic chronic gout, wrist",Prev matern surg aff NB,Topiramate,Andrea Winston,(603) 5641615,44 Lawn Point
0904-5306,Brassicaceae,"Displaced fracture of head of unspecified radius, subsequent encounter for closed fracture with nonunion",Opn skl base fx-mod coma,Diphenhydramine Hydrochloride,Ruthi Jamison,(751) 3081513,7 John Wall Trail
50111-915,Physciaceae,"Personal risk factors, not elsewhere classified",Inj anter tibial artery,Torsemide,Doralyn Goudge,(972) 4705033,54 Thackeray Avenue
0409-4093,Asteraceae,"Poisoning by unspecified drugs acting on muscles, assault, sequela",Fall-milit aircraft occp,CHROMIUM,Brigit Cranney,(829) 6818463,31 Mayfield Pass
55111-728,Fagaceae,"Superficial foreign body of scalp, initial encounter",Myelopathy in oth dis,Ropinirole,Lara Tompion,(326) 4689097,70 Golf Course Parkway
0942-6307,Cladoniaceae,"Activity, other involving animal care",Obstetric shock-postpart,CPDA-1,Alfonse Gloy,(167) 6262138,90271 Vahlen Plaza
52125-509,Poaceae,"Nondisplaced fracture (avulsion) of medial epicondyle of right humerus, subsequent encounter for fracture with nonunion",Opn skull/oth fx-concuss,Brimonidine Tartrate,Pearline Vasishchev,(890) 1568326,89223 Eagle Crest Park
51523-013,Gesneriaceae,"Person boarding or alighting a pedal cycle injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter",Acc poison-ethyl alcohol,MYUNG HAN MI IN DO FOUNDATION,Ebenezer Sandaver,(672) 4513811,9699 Ridgeway Trail
62362-129,Polemoniaceae,"Nondisplaced pilon fracture of right tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",Adv eff metal anti-inf,Neova DNA Damage Control - Active,Gilburt Cale,(195) 8332648,83 Caliangt Avenue
41163-485,Brassicaceae,"Laceration of extensor muscle, fascia and tendon of right little finger at wrist and hand level, sequela",Nonsp abn find-gu organs,equaline antacid,Gayleen Huws,(297) 3324223,3 Randy Center
63545-639,Berberidaceae,"Unspecified fracture of unspecified metacarpal bone, subsequent encounter for fracture with malunion",No proc/patient decision,HAHNEMANN FEVER,Chrotoem Gracey,(965) 9516309,3 Elka Terrace
62839-0807,Teloschistaceae,"Torus fracture of upper end of right fibula, subsequent encounter for fracture with delayed healing",Gc infect joint NEC,Nu Skin Nu Colour,Bernetta Lain,(937) 1853126,903 Heath Lane
36987-3307,Sphagnaceae,Acquired absence of hip,Surg compl-heart,Palmers Amaranth,Juditha Royse,(482) 5779705,15439 Ridge Oak Place
37808-091,Caryophyllaceae,Moderate vulvar dysplasia,Hypersensit angiitis NEC,ORCHID,Annmarie Redmore,(240) 7539268,00314 Brown Way
54622-689,Liliaceae,"Tear of unspecified meniscus, current injury",Adv eff med/biol NEC/NOS,"Pacific Garden Foam Hand Sanitizer, Fragrance Free, Dye Free",Frederigo Beumant,(454) 8744611,13 Morrow Hill
13537-042,Loasaceae,"Drug-induced gout, right ankle and foot",Inf d/t ot bariatrc proc,ESIKA,Jordan Rockall,(249) 4598698,734 Golden Leaf Point
0603-5685,Chenopodiaceae,"Posterior dislocation of right humerus, sequela",TB of bladder-no exam,Risperidone,Sidonia Hastewell,(602) 8120313,957 Sherman Parkway
57955-6011,Rosaceae,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified elbow,One eye-tot/oth-near nor,Prostate Symptom Relief,Rosabella Reucastle,(128) 9508322,9942 Longview Crossing
0049-3160,Orchidaceae,Congenital malformations of posterior segment of eye,Open wound foot-compl,VFEND,Norri Baskerfield,(870) 3000929,94 Hoard Parkway
0536-1034,Santalaceae,"Injury of medial plantar nerve, left leg",Injury-site NOS,Rugby Heartburn Treatment,Cathrin Hallstone,(622) 4454726,891 Mallard Drive
55111-372,Asteraceae,"Other superficial bite of left middle finger, initial encounter",3rd brn w loss-chest wll,sildenafil,Tammy Tumbelty,(292) 7185558,79 Chinook Street
64092-119,Pittosporaceae,Encounter for fitting and adjustment of peritoneal dialysis catheter,Rheum aortic sten/insuff,Enteric Coated Aspirin,Chic Dabourne,(594) 2608470,604 Oneill Terrace
57520-0262,Scrophulariaceae,Chronic conjunctivitis,Opn skl vlt fx/menin hem,Dentaforce,Athena Rubinowicz,(187) 4132540,88 Gateway Avenue
0555-9010,Asteraceae,Postprocedural hematoma of the spleen following other procedure,Primary CNS lymph head,Nortrel,Doralia Sabattier,(114) 9506736,3463 Almo Lane
65028-002,Fabaceae,"Unspecified physeal fracture of lower end of right femur, sequela",Sprain of back NOS,Full Care BZK Towelette,Jessie Swale,(625) 5549701,66382 David Trail
0178-0798,Fabaceae,"Venous complication in pregnancy, unspecified, unspecified trimester",Neuropathy in diabetes,CitraNatal Harmony,Arney Eddicott,(953) 6631089,582 Montana Pass
49349-031,Rubiaceae,"Occupant (driver) (passenger) of three-wheeled motor vehicle injured in transport accident with military vehicle, subsequent encounter",Late effect cns TB,Clonazepam,Gaynor Gurery,(873) 8529886,85339 Melrose Place
52125-003,Cladoniaceae,"Poisoning by oxytocic drugs, accidental (unintentional), subsequent encounter",Hx-vaccine allergy,DARAPRIM,Bryn Panting,(873) 3282841,9 Cardinal Plaza
55316-117,Scrophulariaceae,"Unspecified injury of muscle, fascia and tendon of triceps, right arm, subsequent encounter",Adv eff digestants,healthy accents lansoprazole,Rikki Ducroe,(655) 8059030,0828 Green Ridge Place
76214-032,Iridaceae,Frotteurism,Poisoning-tetracycline,CACTUS WHITENING SUN,Adamo Beardsworth,(723) 5245834,2459 Calypso Plaza
43063-353,Fabaceae,Postlaminectomy kyphosis,Insufficnt prenatal care,Prochlorperazine Maleate,Maisey Spolton,(966) 8010098,1 Trailsway Plaza
49999-376,Fabaceae,"Severely displaced Zone II fracture of sacrum, initial encounter for open fracture",Hypervitaminosis a,Oxaprozin,Meridel Marchington,(608) 6279123,84299 Tennyson Street
0054-8604,Erythroxylaceae,"Drowning and submersion due to other accident to sailboat, subsequent encounter",Acute pain due to trauma,Megestrol Acetate,Dari Extal,(886) 8330735,70 Nobel Point
53897-001,Fabaceae,Traumatic rupture of unspecified ligament of finger at metacarpophalangeal and interphalangeal joint,Parasitic conjunctivitis,Clinical Strength MiracleDry Antiperspirant Deodorant PM,Darsie Borrie,(975) 6090368,078 Service Trail
43538-240,Sphagnaceae,"Myopathy of extraocular muscles, bilateral",Glutathione dis anemia,Uramaxin,Gale Heimes,(258) 8294863,1 Summer Ridge Road
0591-3964,Asteraceae,"Osteitis condensans, unspecified ankle and foot",Prim cutan coccidioid,Progesterone,Darryl Hurling,(611) 9731903,7091 Anniversary Street
24385-154,Lichinaceae,Fracture of upper end of ulna,Personl hx nephrotic syn,Flu Relief Therapy Night Time,Terra Dysert,(749) 3946295,688 Warbler Street
50458-402,Cactaceae,"Laceration of other blood vessels of thorax, left side",Pulmonary valve disorder,Doribax,Corrina Broadey,(456) 1896309,3007 Vermont Point
25021-207,Onagraceae,Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene,Benign neoplasm urethra,doxorubicin hydrochloride,Budd Legerton,(124) 3764995,48074 Ridgeview Junction
0046-0749,Asteraceae,"Nondisplaced fracture of greater tuberosity of left humerus, initial encounter for closed fracture",Poison-gas/vapor NOS,Premarin,Dorthea Lamartine,(248) 7821549,47 Loeprich Lane
68084-494,Polemoniaceae,Unspecified atrioventricular block,Foreign body middle ear,Pyridostigmine Bromide,Clarette Lorrimer,(765) 1714332,831 Dahle Trail
0113-0165,Saxifragaceae,"Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, sequela",Zygomatic hyperplasia,Good Sense Allergy and Congestion Relief,Cyril Mcwhinnie,(762) 3905494,0075 Oriole Trail
62742-4029,Orchidaceae,"Intermittent hydrarthrosis, unspecified wrist",Major osseous defects,SARAH CHAPMAN London SKINESIS Dynamic Defence Anti-Ageing Day SPF 15,Kate Petruszka,(358) 4101532,27 Judy Place
63354-300,Fabaceae,Personal history of malignant neoplasm of renal pelvis,Osteoarthrosis-mult site,Hawaiian Tropic,Joachim Redford,(276) 4428352,8 Dayton Way
49643-366,Nyctaginaceae,Inferior dislocation of acromioclavicular joint,Cl skul fx NEC-deep coma,Black Walnut Pollen,Robbyn Primo,(154) 4759385,95976 Ridgeview Avenue
68084-343,Brassicaceae,"Injury of other specified nerves of thorax, initial encounter",Retrovert uterus-unspec,topiramate,Tommi Klouz,(303) 8022841,123 Algoma Lane
49884-197,Poaceae,"Thrombosis due to nervous system prosthetic devices, implants and grafts, subsequent encounter",TB pleurisy-cult dx,oxycodone hydrochloride,Marj Bartolommeo,(979) 4087813,6 Annamark Alley
68788-9515,Lichinaceae,"Nondisplaced fracture of lesser tuberosity of unspecified humerus, sequela",Cong tricusp atres/sten,Pantoprazole Sodium,Ignace Brann,(474) 7004198,111 Northfield Plaza
58118-0158,Rubiaceae,Unspecified parasitic disease,Hx-congenital malfor NEC,Omeprazole,Carolina Duffett,(515) 4503975,8218 Morning Center
0363-0189,Theaceae,"Other superficial bite of right back wall of thorax, initial encounter",Malig neo biliary NOS,Sleep II,Damiano Spera,(528) 4976183,6992 Nancy Court
0093-6900,Simaroubaceae,Salter-Harris Type I physeal fracture of upper end of left fibula,Epil par cont w intr epi,Fentanyl,Orton MacKomb,(538) 2656000,9 Washington Circle
11410-022,Lamiaceae,"Burn of first degree of left forearm, subsequent encounter",Fetal malnutr 2500+g,Meaningful Beauty Dark Spot Correcting Treatment,Gale Sandeman,(915) 8600726,25 Boyd Court
0135-0460,Asteraceae,Septic arterial embolism,Burn NOS head-unspec,SENSODYNE,Amalee Witch,(659) 2660973,5 Oneill Crossing
36987-1401,Gentianaceae,Rheumatoid polyneuropathy with rheumatoid arthritis of ankle and foot,Mosquito-borne fever NEC,Navy Beans,Gerardo Glassopp,(861) 2953233,09 Eagan Pass
76273-002,Cupressaceae,"Puncture wound with foreign body of unspecified external genital organs, female, initial encounter",Radiotherapy encounter,Antibacterial Hand Mousse,Nataniel Bowland,(423) 6796497,5 Fallview Avenue
54575-087,Saxifragaceae,Displaced unspecified fracture of left great toe,Undet pois-agricult agnt,STANDARDIZED KENTUCKY BLUEGRASS POLLEN,Jehu Keppin,(527) 8443780,70293 Stang Way
0245-0003,Lamiaceae,"Other specific joint derangements of right foot, not elsewhere classified",Fracture four ribs-open,SSKI,Portia Lister,(457) 2165134,4865 Fieldstone Place
60681-1002,Urticaceae,"Puncture wound with foreign body of unspecified hand, initial encounter",Voice production problem,Pleo San Ger,Angela Paternoster,(855) 9518238,01510 Claremont Drive
46122-050,Asteraceae,Salter-Harris Type II physeal fracture of phalanx of right toe,Episodic mood disord NEC,Childrens Acetaminophen Cherry,Missie Craydon,(255) 3905302,0330 Calypso Court
46122-200,Araliaceae,"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, subsequent encounter",Hit by train-person NOS,CMC Lubricant Eye Drops,Rosaline Gristwood,(702) 4064855,3 Rusk Street
61957-2022,Asteraceae,"Palindromic rheumatism, right hip",Incompetence of cervix,Diorskin Nude Natural Glow Makeup 022 Cameo,Leda Randals,(405) 3496947,36872 Bunker Hill Circle
50845-0061,Plantaginaceae,"Animal-rider injured in collision with two- or three-wheeled motor vehicle, sequela",Prepatellar bursitis,Weight Loss XL,Jewell Lummis,(625) 7251946,743 Carey Hill
21749-806,Saxifragaceae,"Abrasion, right lesser toe(s), sequela",Extradural hem-coma NOS,PURELL Advanced Green Certified Instant Hand Sanitizer,Theodoric Emnoney,(396) 2809795,7012 Basil Street
62670-4822,Ranunculaceae,"Corrosion of unspecified degree of left axilla, sequela",Opn skl fx NEC-prol coma,Anti-Bacterial Hand,Loren Crimp,(592) 8790850,7633 Mallard Lane
0409-6625,Parmeliaceae,"Unspecified injury of other blood vessels at hip and thigh level, unspecified leg",Galactorrhea-nonobstet,Sodium Bicarbonate,Tatiania Kolakowski,(588) 4227255,713 Jackson Junction
61727-050,Fabaceae,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, accidental (unintentional)",Late vomit preg-antepart,Allergy Relief Now Chemical Sensitivity Remedy,Garwood Follit,(939) 6347843,0809 Evergreen Terrace
54575-431,Agavaceae,"Strain of muscle and tendon of long extensor muscle of toe at ankle and foot level, right foot",Abn find-amniotic fluid,GREEN PEA,Emelda Barrington,(330) 7219558,58 Rowland Lane
55714-2300,Anacardiaceae,Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities,Gonococcal eye NEC,Inflammation,Rosette Smallpeice,(506) 4381044,42595 Brown Parkway
58177-681,Poaceae,"Marginal corneal ulcer, left eye",Opn angl brderln lo risk,oxycodone hydrochloride,Leshia Leipold,(895) 5037682,9265 Merry Court
0006-0753,Gentianaceae,"Poisoning by other general anesthetics, assault, subsequent encounter",Severe sepsis,JUVISYNC,Alberta Rumsby,(693) 6083249,93925 Dayton Drive
59779-012,Solanaceae,Subluxation and dislocation of T2/T3-T3/T4 thoracic vertebra,Septate uterus,Antacid Antigas Maximum Strength,Carri Mayer,(668) 1253182,14341 Bartillon Point
53808-0165,Verrucariaceae,"Contact with electric knife, sequela",Inj superior mesent vein,DIGOXIN,Reeta Tatchell,(202) 8857409,09 Graceland Circle
36987-3438,Rosaceae,Nontraumatic compartment syndrome of unspecified lower extremity,Chr marginal ulcer NOS,Wingscale,Torrie Pettegre,(721) 9622035,02656 New Castle Junction
60760-912,Caryophyllaceae,"Other traumatic displaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",Illegitimate pregnancy,Fentanyl,Shelly Sesser,(437) 2706216,2 Cambridge Terrace
0003-0293,Potamogetonaceae,"Rheumatoid arthritis without rheumatoid factor, right elbow",Unspf dent alvelr anmaly,KENALOG-40,Gianna Davy,(202) 1922494,43505 Twin Pines Point
76280-232,Asteraceae,"Pathological fracture in neoplastic disease, right radius, initial encounter for fracture",Benign neoplasm retina,"Octisalate, Avobenzone, Homosalate, Octocrylene",Gabbie Garric,(972) 2059636,01417 Boyd Lane
21695-590,Dactylosporaceae,"Burn of first degree of trunk, unspecified site, sequela",Dev disloc jt-lower leg,Docusate Sodium,Creight Sewter,(467) 2799608,317 8th Circle
64578-0068,Urticaceae,"Dislocation of proximal interphalangeal joint of left middle finger, subsequent encounter",Sev preeclamp-del w p/p,Metal-Chord,Zebulon Rickson,(119) 7135488,50 Petterle Road
65197-201,Arthoniaceae,"Traumatic rupture of unspecified ligament of left ring finger at metacarpophalangeal and interphalangeal joint, sequela",Lt ef-mplga uplmb nondom,Emetrol Cherry,Demetre Elph,(674) 5988416,78 Lakewood Avenue
68540-001,Mycocaliciaceae,"Contusion of left front wall of thorax, subsequent encounter",Opn skul fx NEC-mod coma,Oxygen,Tiffi Shama,(372) 7419085,832 Erie Avenue
0591-0406,Polemoniaceae,"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",Fall on escalator,Lisinopril,Giacopo Jouannisson,(644) 2446654,8 Rieder Terrace
43319-030,Salicaceae,"Other osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with malunion",Torus fracture of tibia,GOONGSECRET CALMING BATH,Jake Stockford,(898) 3644071,88327 Clemons Street
0363-0708,Cyperaceae,Type 2 diabetes mellitus without complications,Relationship problems,childrens wal tap,Carolyn Van Haeften,(124) 7399061,93 Buhler Trail
76335-002,Fabaceae,Newborn affected by placenta previa,Malignant pleural effusn,Silent Nights,Peder McGrill,(622) 2525850,96159 Londonderry Trail
47682-303,Strigulaceae,"Crushing injury of skull, sequela",Cl skull base fx-concuss,Dover Aminophen,Gorden Ruddock,(204) 5038138,87 Tennyson Pass
49999-024,Cactaceae,"Partial traumatic amputation of unspecified shoulder and upper arm, level unspecified",Hunting rifle accident,Hydroxyzine Hydrochloride,Naoma Gooderick,(825) 4702758,5 Blue Bill Park Plaza
68327-011,Fabaceae,"Peripheral corneal degeneration, unspecified eye",Polio osteopathy-mult,COVER FX PROTECTION PRIMER,Cindy Audibert,(816) 8986417,681 Morningstar Road
37808-415,Lamiaceae,Nondisplaced midcervical fracture of unspecified femur,Chronic cholecystitis,DANDRUFF 2 IN 1 SHAMPOO AND CONDITIONER,Jennica Taree,(753) 1002303,9 2nd Way
63629-2825,Chenopodiaceae,Non-pressure chronic ulcer of unspecified thigh with unspecified severity,Cortical/zonular catarac,Aspirin,Lucilia Avramovitz,(736) 7959849,444 Prairie Rose Street
65862-513,Lamiaceae,"Drowning and submersion due to falling or jumping from unspecified burning watercraft, sequela",War injury:fire NEC,Pioglitazone Hydrochloride,West Arthur,(655) 2632871,057 Hoard Point
58118-1117,Caryophyllaceae,Encounter for other genetic testing of female for procreative management,TB laryngitis-micro dx,Mirtazapine,Fredra Stephen,(149) 3816173,318 Bluestem Plaza
52125-152,Brassicaceae,Open bite of unspecified buttock,Amniotic embol-postpart,Verapamil Hydrochloride,Tore Wenman,(928) 7846293,3989 7th Pass
43742-0086,Dennstaedtiaceae,Contusion and laceration of right cerebrum without loss of consciousness,Macular cornea dystrophy,Histamine,Madelle Poetz,(210) 3449676,202 Novick Road
49288-0226,Solanaceae,"Unspecified open wound of left lesser toe(s) without damage to nail, sequela",Crystal deposit vitreous,Sweet Gum,Nick Tschierasche,(692) 3218097,967 Carioca Avenue
49527-712,Asteraceae,"Poisoning by other drugs, medicaments and biological substances, undetermined, subsequent encounter",Mucous polyp of cervix,EVEN BETTER MAKEUP,Cornela Crossgrove,(262) 5534461,3 Twin Pines Road
62207-753,Teloschistaceae,Other specified disorders of nose and nasal sinuses,Inf arthritis NOS-up/arm,Naproxen Sodium,Leia Meachen,(422) 7618548,83 Debra Lane
65862-033,Ericaceae,"Salter-Harris Type I physeal fracture of phalanx of left toe, subsequent encounter for fracture with delayed healing",Thyrotox-ect nod w cris,Cefuroxime Axetil,Bartolomeo Townshend,(719) 6272090,7 Mallard Place
63187-164,Caryophyllaceae,"Displaced fracture of lateral condyle of left humerus, subsequent encounter for fracture with routine healing",Nonsp abn fnd-abdom area,SUMATRIPTAN,Rosamond Shrawley,(308) 4865259,5894 Mallory Lane
49884-212,Pinaceae,"Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with nonunion",Exhibitionism,Risperidone,Lenette Burgane,(942) 3673668,13840 Darwin Alley
0555-0590,Fabaceae,"Other physeal fracture of lower end of radius, right arm, sequela",Adv eff arom analgsc NEC,Didanosine,Araldo Jacobsohn,(324) 2768208,8 Montana Circle
52125-570,Juncaceae,"Person on outside of car injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",Sprain of sternum NOS,Fexofenadine Hydrochloride,Anya O'Crigane,(148) 7691163,93686 Del Sol Drive
61957-0320,Icacinaceae,"Superficial foreign body of left elbow, sequela",Insect bite finger,CD DiorSkin Forever Flawless Perfection Fusion Wear Makeup SPF 25 - 020,Antonia D'Alwis,(102) 9192423,68 Thackeray Lane
51060-043,Cyperaceae,"Subluxation of C2/C3 cervical vertebrae, sequela",Bandemia,Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,Wren Woollcott,(567) 7296319,1 Division Avenue
54868-0010,Polygonaceae,"Bilateral inguinal hernia, without obstruction or gangrene",Tripl gest-plac/sac und,Citrate of Magnesium,Lane Frogley,(510) 6504736,6 Delladonna Lane
63146-118,Asteraceae,Encounter for other prophylactic surgery,Failure sterile infusion,Kay,Abra Rabbitts,(240) 2025553,66 Bonner Road
63868-787,Boraginaceae,"Salter-Harris Type I physeal fracture of lower end of humerus, unspecified arm, subsequent encounter for fracture with routine healing",Plasmacytoma NOS,MILK OF MAGNESIA ORIGINAL,Noellyn Danford,(941) 7731438,93861 Del Mar Junction
64117-587,Pottiaceae,Postconcussional syndrome,Otorrhea NEC,Tickling Cough,Cortie Benini,(917) 5777269,5 Logan Pass
67684-1001,Asteraceae,"Nondisplaced osteochondral fracture of left patella, initial encounter for open fracture type IIIA, IIIB, or IIIC",Palindrom rheum-shlder,Oxilan,Alejandro Garwill,(307) 4610804,62 Elgar Street
52125-053,Poaceae,"Malformation of placenta, unspecified, third trimester",Fx sacrum-op/crd inj NEC,COUMADIN,Karena Infantino,(377) 9510778,08 Holmberg Park
58668-2841,Poaceae,"Injury of right uterine artery, subsequent encounter",Rh isoimmunization-unsp,CLARINS Ever Matte Broad Spectrum SPF 15 Tint 110,Romain Loughren,(909) 1709899,419 Merry Pass
68788-9207,Lecideaceae,Nondisplaced fracture of distal pole of navicular [scaphoid] bone of right wrist,Effect air pressure NOS,Diazepam,Fraser Prayer,(575) 3471366,684 High Crossing Center
21695-638,Polygonaceae,"Other fracture of unspecified lesser toe(s), subsequent encounter for fracture with malunion",Ped cycle acc-pers NOS,Phenazopyridine Hydrochloride,Araldo Samworth,(173) 3162489,349 Burning Wood Plaza
16590-312,Scrophulariaceae,Laceration with foreign body of nose,Insect bite hand-infect,DIOVAN HCT,Evangelina Boyne,(724) 2179380,4 Westerfield Plaza
49873-402,Poaceae,"Unspecified kyphosis, thoracolumbar region",Obsrv NB suspc resp cond,Inon Ace,Fleurette Kulicke,(180) 7963974,513 John Wall Road
66116-234,Lamiaceae,"Nondisplaced fracture of intermediate cuneiform of unspecified foot, subsequent encounter for fracture with routine healing",Deformity of orbit NOS,Hydrochlorothiazide,Carr Smouten,(268) 9785275,518 Mccormick Pass
17478-827,Solanaceae,"Nondisplaced spiral fracture of shaft of ulna, left arm, subsequent encounter for open fracture type I or II with nonunion",Assault-poisoning NOS,Gentak,Eddie Stevani,(840) 4115400,70801 Jay Circle
31722-206,Boraginaceae,"Perforation due to foreign body accidentally left in body following removal of catheter or packing, subsequent encounter",Pneumonia oth spcf bact,Citalopram,Rori Sibery,(171) 5825203,490 Tomscot Crossing
16571-013,Liliaceae,Unspecified Eustachian tube disorder,Adv eff hair/scalp prep,Piroxicam,Caldwell Rampling,(669) 4244102,483 Crest Line Plaza
0135-0533,Asteraceae,"Partial traumatic amputation of unspecified lower leg, level unspecified, initial encounter",Breech extr NOS-deliver,Nicorette,Debra Bollard,(194) 8677629,64 Twin Pines Drive
52584-941,Lamiaceae,"Disorders of muscle in diseases classified elsewhere, right lower leg",Aftrcre int fixation dev,Talwin,Carlynne Yeskov,(435) 5500790,722 Almo Pass
59434-001,Chenopodiaceae,"Corrosion of first degree of right elbow, initial encounter",Hepatitis NOS,Ala-Septic,Nicolis Bestwick,(566) 1509638,2456 Dennis Street
65862-228,Loganiaceae,"Benign neoplasm of major salivary gland, unspecified",Inf arthritis NOS-up/arm,Lamotrigine,Liam Rameau,(564) 8411104,9306 Old Shore Junction
63736-016,Brassicaceae,"Asphyxiation due to hanging, undetermined, sequela",Traff acc NOS-mcycl psgr,Monistat 3 Combination Pack,Giacobo Melby,(477) 8518568,9 Corry Trail
64009-360,Aspleniaceae,Complete traumatic amputation of two or more lesser toes,Elvtd prstate spcf antgn,Spartan Antiseptic Hand Cleaner,Joletta Simkin,(782) 5403136,777 Loomis Street
36987-3321,Caliciaceae,"Unspecified fracture of shaft of left tibia, subsequent encounter for closed fracture with delayed healing",Paratyphoid fever b,Spiny Pigweed,Waring Silvermann,(546) 8652687,71 Warbler Center
57955-5205,Lamiaceae,"Person injured while boarding or alighting from dune buggy, initial encounter",Hemopericardium,Nuts and Seeds Intolerances,Cleon Umfrey,(237) 4317950,8487 Butternut Point
68151-1472,Violaceae,Vibrio vulnificus as the cause of diseases classified elsewhere,Hemopericardium,Moexipril Hydrochloride,Mata Attrey,(831) 7705759,2 Beilfuss Alley
60258-525,Turneraceae,Superficial foreign body of ankle,Paranoid schizo-chronic,Neutrahist,Kamilah Granger,(775) 4133807,2 Rutledge Crossing
